method,cluster_id,n_players,top_feature_1,top_feature_2,top_feature_3,mean_serve_speed_avg,mean_ace_pct,mean_double_fault_pct,mean_first_serve_in_pct,mean_first_serve_points_won_pct,mean_break_points_saved_pct,mean_avg_rally_length,mean_win_ratio,mean_height_cm
dbscan,0,3,break_points_saved_pct,height_cm,first_serve_points_won_pct,0.25044483055682504,0.03985257416496712,-0.178174161274949,-0.17817416127494892,0.45046590537992853,0.5137011669140767,-0.41631959745687935,0.05144670066039388,-0.5033258793633996
dbscan,1,2,first_serve_in_pct,first_serve_points_won_pct,double_fault_pct,0.7216765512097978,0.8539837321064435,1.0957710918409407,-1.2204930047334046,1.1067481295972406,0.8651809126973962,-1.0851219926109903,-1.0186446730758028,0.7312470322826781
